worker,task,utterance,matching_templates,plausible_operations,type_of_sentence
W270,6,find articles about the virus with WHO or NCD or NI in the headline,TNUS730,Create(l4 v l5 v l6),command
W270,7,NI is not north ireland,TNUS800,"Update(l5, ?)",statement
W270,8,ni is national insurance,TNUS854,"Update(?, l7)",statement
W270,9,show articles about sars-cov-2 instead of covid-19,TNUS914,"Update(l1, l8)",command
W270,10,what was my last request,TNUS964,Read(Q10),question
W270,12,show a list of articles about the flu,TNUS1045,"Update(l8 ^ l9, l10),Create(l10)",command
W270,13,show articles that aren't about covid-19,TNUS1110,Create(neg(l1)),command
W271,2,Please provide COVID-19 articles,TNUS554,Create(l1),command
W271,3,Can you just show me the ones that discuss vaccinations?,TNUS605,Create(l2),question
W271,4,Can you also include ones that discuss treatment.,TNUS667,"Update(l2, l2 v l3)",question
W271,5,Actually also add the articles not about treatment or vaccinations.,TNUS692,Delete(l2 v l3),command
W271,6,"But only include articles with NCD, or NI or WHO in the headline",TNUS730,Create(l4 v l5 v l6),command
W271,7,I need North IRELAND ARTICLES REMOVED,TNUS811,"Update(l5, ?),Update(l5, neg(l5))",statement
W271,8,National Insurance articles,TNUS856,"Update(?, l7)",command
W271,9,"instead of COVID-19, also include SARS-Cov-2 articles",TNUS919,"Update(l1, l8)",command
W271,12,Now only articles about the flu,TNUS1054,"Update(l8 ^ l9, l10)",command
W271,13,And not about covid-19,TNUS1103,Create(neg(l1)),command
W272,2,Search for COVID-19 articles,TNUS554,Create(l1),command
W272,3,Just the vaccination news articles,TNUS614,"Create(l2),Update(l1, l2)",command
W272,4,look up treatment articles,TNUS672,"Update(l1 ^ l2, l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l2, l2 v l3)",command
W272,6,"change list to just NCD, NI, WHO headline news articles",TNUS735,Create(l4 v l5 v l6),command
W272,7,Exclude North Ireland,TNUS808,"Update(l5, ?),Update(l5, neg(l5))",command
W272,8,National Insurance,TNUS856,"Update(?, l7)",command
W272,10,What was the last search query?,TNUS965,Read(Q10),question
W272,12,Search flu news articles,TNUS1057,"Update(l8 ^ l9, l10),Create(l10)",command
W272,13,exclude COVID-19,TNUS1104,Create(neg(l1)),command
W273,2,news articles about COVID-19,TNUS552,Create(l1),command
W273,3,news articles about vaccination,TNUS608,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W273,4,news articles about treatments,TNUS661,"Update(l2, l2 v l3),Update(l1 ^ l2, l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W273,5,news articles not about vaccination or treatment,TNUS1145,"Update(l2 v l3, neg(l2) v neg(l3))",command
W273,6,news articles with headlines NCD or NI or WHO,TNUS742,Create(l4 v l5 v l6),command
W273,7,news articles not about North Ireland,TNUS798,"Update(l5, ?),Update(l5, neg(l5))",command
W273,8,news articles about National Insurance,TNUS857,"Update(?, l7)",command
W273,9,news articles about SARS-CoV-2 instead of COVID-19,TNUS921,"Update(l1, l8)",command
W273,12,news articles about flu,TNUS1053,"Update(l8 ^ l9, l10),Create(l10)",command
W273,13,news articles not about COVID-19,TNUS1103,Create(neg(l1)),command
W274,2,Give me the latest COVID-19 news,TNUS554,Create(l1),command
W274,6,"Show me articles with WHO, NI or NCD in the headline",TNUS730,Create(l4 v l5 v l6),command
W274,7,North Ireland is not what I meant by NI,TNUS803,"Update(l5, ?)",statement
W274,8,NI is an abbreviation for National Insurance.,TNUS855,"Update(?, l7)",statement
W274,9,"Instead of COVID-19 articles, show me SARS-CoV-2 articles",TNUS919,"Update(l1, l8)",command
W274,10,Please go back to my previous search,TNUS959,Read(Q10),command
W274,12,Just show me articles about the flu,TNUS1054,"Update(l8 ^ l9, l10)",command
W274,13,The articles should not be about COVID-19,TNUS1111,Create(neg(l1)),command
W275,2,Get me all news articles about COVID-19.,TNUS553,Create(l1),command
W275,3,Change that list to include only articles about a vaccination.,TNUS611,"Create(l2),Update(l1, l2)",command
W275,4,Change the list to include articles about treatment.,TNUS668,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W275,6,Change the list to include only headlines that include NCD or NI or WHO.,TNUS737,Create(l4 v l5 v l6),command
W275,7,Change the list to eliminate articles about North Ireland.,TNUS806,"Update(l5, ?),Update(l5, neg(l5))",command
W275,8,National Insurance.,TNUS856,"Update(?, l7)",command
W275,9,Change the list to find articles on SARS-CoV-2 instead of COVID-19.,TNUS915,"Update(l1, l8)",command
W275,10,Repeat my previous request.,TNUS959,Read(Q10),command
W275,11,Remove my earlier headline requests and change the list to include only articles about the economy.,TNUS996,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W275,12,Delete the earlier list and get me all news articles about the flu.,TNUS1047,"Update(l8 ^ l9, l10)",command
W275,13,Change the list to remove any articles about COVID-19.,TNUS1107,Create(neg(l1)),command
W276,2,Please could you help me the news articles about COVID-19?,TNUS557,Create(l1),question
W276,5,"could you add more details to your list relating to the disease, its vaccinations and treatments?",TNUS693,Delete(l2 v l3),question
W276,6,"Also adjust your list by including NCD, NI, and WHO headlines",TNUS732,Create(l4 v l5 v l6),command
W276,7,The interpretation you had for NI as north ireland is not what i actually meant,TNUS812,"Update(l5, ?)",statement
W276,8,What i had in mind initially was National insurance.,TNUS863,"Update(?, l7)",statement
W276,9,you would have to replace COVID-19 with SARS-CoV-2,TNUS919,"Update(l1, l8)",statement
W276,12,"Now i want this article to be about flu not COVID-19, you will have to edit your work|",TNUS1055,"Update(l8 ^ l9, l10),Create(l10)",statement
W276,13,The content that you are to create should contain things relating to the new suggested illness and not to COVID-19,TNUS1112,Create(neg(l1)),statement
W277,2,Please retrieve any and  all COVID-19 articles you can for me.,TNUS558,Create(l1),command
W277,3,I only would like to see articles that contain information about a vaccination.,TNUS612,"Create(l2),Update(l1, l2)",statement
W277,4,Please also show me articles pertaining to a treatment.,TNUS664,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W277,5,I would like to see more articles that are not about vaccination or treatment.,TNUS1141,"Update(l2 v l3, neg(l2) v neg(l3))",statement
W277,6,"I would like to see articles and those where the headline has NCD, NI, or WHO.",TNUS741,Create(l4 v l5 v l6),statement
W277,7,NI does not stand for North Ireland.,TNUS804,"Update(l5, ?)",statement
W277,8,National Insurance,TNUS856,"Update(?, l7)",command
W277,9,"Instead of COVID-19, I would now like to view articles about SARS-CoV-2.",TNUS920,"Update(l1, l8)",statement
W277,10,Please show me my previous searches.,TNUS959,Read(Q10),command
W277,12,Disregard all previous searches and only provide search results for the flu.,TNUS1048,"Update(l8 ^ l9, l10)",command
W277,13,Please show articles which do not contain information about COVID-19.,TNUS1110,Create(neg(l1)),command
W278,2,I need all news articles on COVID-19,TNUS556,Create(l1),statement
W278,3,all news articles about vaccination,TNUS608,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W278,4,also include treatments,TNUS664,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W278,5,I need all articles that are not about vaccination or treatment,TNUS1141,"Update(l2 v l3, neg(l2) v neg(l3))",statement
W278,6,"I need the headline to include either NCD, NI, WHO",TNUS740,Create(l4 v l5 v l6),statement
W278,7,NI is not North Ireland,TNUS800,"Update(l5, ?)",statement
W278,8,NI means National Insurance,TNUS853,"Update(?, l7)",statement
W278,9,Looking for articles on Sars-CoV-2 instead of COVID-19,TNUS914,"Update(l1, l8)",command
W278,10,What was my previous search?,TNUS964,Read(Q10),question
W278,11,Instead of the headline. I am looking for articles about the economy,TNUS994,"Update(f1:(l4 ^ l7 ^ l6), l9)",statement
W278,12,I want to search about the flu,TNUS1050,"Update(l8 ^ l9, l10),Create(l10)",statement
W278,13,do not include anything about COVID-19,TNUS1104,Create(neg(l1)),command
W279,3,Only provide articles about vaccination,TNUS607,"Create(l2),Update(l1, l2)",command
W279,4,also includes articles about treatment,TNUS664,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W279,5,remove any articles that are about vaccination or treatment,TNUS1143,"Update(l2 v l3, neg(l2) v neg(l3))",command
W279,6,"Please include all articles that have the headline of either NCD, NI, or WHO.",TNUS731,Create(l4 v l5 v l6),command
W279,7,"North Ireland is not what I had in mind, I had something else in mind",TNUS802,"Update(l5, ?)",statement
W279,8,I actually meant National Insurance,TNUS861,"Update(?, l7)",statement
W279,9,Please change the list to contain different articles about SARS-CoV-2 instead of COVID-19,TNUS915,"Update(l1, l8)",command
W279,10,Can you please confirm the information I provided earlier?,TNUS960,Read(Q10),question
W279,11,"Please include only articles about the economy, but remove the filter about headlines containing certain words.",TNUS995,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W279,12,Please perform a new search that has articles about the flu,TNUS1056,"Update(l8 ^ l9, l10)",command
W280,2,news articles about COVID-19,TNUS552,Create(l1),command
W280,5,all news without vaccination or treatment,TNUS1140,"Update(l2 v l3, neg(l2) v neg(l3))",command
W280,6,"headline words include NCD, NI, or WHO",TNUS738,Create(l4 v l5 v l6),command
W280,7,North Ireland is incorrect,TNUS799,"Update(l5, ?)",statement
W280,8,NI is National Insurance,TNUS854,"Update(?, l7)",statement
W280,9,"news articles about SARS-CoV-2 only, omit COVID-19",TNUS921,"Update(l1, l8)",command
W280,10,what did I previously ask for,TNUS963,Read(Q10),question
W280,12,only articles about flu ,TNUS1054,"Update(l8 ^ l9, l10)",command
W280,13,do not include COVID-19,TNUS1104,Create(neg(l1)),command
W281,2,Get me all the news on the covid-19 ,TNUS553,Create(l1),command
W281,3,Also include any articles thadiscuss vaccination,TNUS609,"Update(l1, l1 v l2)",command
W281,4,add articles that include treatments,TNUS666,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W281,5,I need more articles but not about vaccinations or treatments,TNUS1141,"Update(l2 v l3, neg(l2) v neg(l3))",statement
W281,6,"I need articles only include NCD, NI or WHO in the headline",TNUS739,Create(l4 v l5 v l6),statement
W281,7,I dont mean North Ireland,TNUS809,"Update(l5, ?)",statement
W281,8,I meant National Insurance,TNUS861,"Update(?, l7)",statement
W281,9,I need different articles on SARS-CoV-2 not on COVID-19,TNUS917,"Update(l1, l8)",statement
W281,10,What were the previous request,TNUS964,Read(Q10),question
W281,12,Give me articles about the flu,TNUS1045,"Update(l8 ^ l9, l10),Create(l10)",command
W281,13,But include them to not be about COVID-19,TNUS1105,Create(neg(l1)),command
W282,2,Can i get news articles about Covid-19 ,TNUS555,Create(l1),question
W282,3,Could you only have the articles that are about the vaccination,TNUS605,Create(l2),question
W282,4,Now show me some more articles that talk about treatment too,TNUS663,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W282,5,Now I don't want to see the news articles about vaccination or treatment anymore,TNUS1142,"Update(l2 v l3, neg(l2) v neg(l3))",statement
W282,6,"I just want to see the articles that have WHO, NCD, or NI in the headline",TNUS739,Create(l4 v l5 v l6),statement
W282,7,North Ireland is not the 'NI' i was looking for,TNUS801,"Update(l5, ?)",statement
W282,8,I actually meant National Insurance,TNUS861,"Update(?, l7)",statement
W282,9,I want the articles about COVID-19 to be about SARS-CoV-2 now with the same headlines,TNUS918,"Update(l1, l8)",statement
W282,10,What articles did i ask for previously,TNUS962,Read(Q10),question
W282,12,Do not consider anything I said earlier and change the articles to be about the flu,TNUS1049,"Update(l8 ^ l9, l10)",command
W282,13,Exclude all articles about COVID-19,TNUS1104,Create(neg(l1)),command
W283,2,Give me articles on COVID-19,TNUS553,Create(l1),command
W283,3,Just show me the articles on vaccination,TNUS607,"Create(l2),Update(l1, l2)",command
W283,4,include articles on treatment as well,TNUS663,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W283,5,include articles that don't include vaccination or treatment too.,TNUS694,Delete(l2 v l3),command
W283,6,"Only include articles that have NCD, NI, or WHO in the headline",TNUS730,Create(l4 v l5 v l6),command
W283,7,By NI I didn't mean North Ireland,TNUS805,"Update(l5, ?)",statement
W283,8,I meant National Insurance.,TNUS861,"Update(?, l7)",statement
W283,9,"Give me articles about SARS-CoV-2 rather than COVID-19, they should meet the previous criteria.",TNUS916,"Update(l1, l8)",command
W283,10,What was the previous search?,TNUS964,Read(Q10),question
W283,12,"I want a completely new search, give me news articles about the flu.",TNUS1051,"Update(l8 ^ l9, l10)",statement
W283,13,I want news articles that aren't about COVID-19.,TNUS1109,Create(neg(l1)),statement
W284,2,Get me all articles on Covid-19,TNUS553,Create(l1),command
W284,3,Show me only those about vaccination,TNUS616,Create(l2),command
W284,4,Also include articles about treatments,TNUS664,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W284,5,Remove articles about vaccination and treatments,TNUS1144,"Update(l2 v l3, neg(l2) ^ neg(l3))",command
W284,6,"Show me articles about NCD, NI or WHO in the headline",TNUS730,Create(l4 v l5 v l6),command
W284,7,NI is not North Ireland,TNUS800,"Update(l5, ?)",statement
W284,8,NI stands for National Insurance,TNUS853,"Update(?, l7)",statement
W284,9,Show me articles about SARS-CoV-2 insteadof Covid-19,TNUS914,"Update(l1, l8)",command
W284,12,show me articles about the flu,TNUS1045,"Update(l8 ^ l9, l10),Create(l10)",command
W284,13,That are not about Covid-19,TNUS1103,Create(neg(l1)),command
